i	sen	 p_x	p_y	px_gt	py_gt	px_sen	py_sen	v	v_gt	yaw	yaw_gt	yaw_rate	yaw_rate_gt	NIS
458	0	 -17.4906	9.77776	-17.4777	9.86936	-17.3436	9.88109	5.06664	5.10289	0.274033	0.290859	-0.336805	-0.271	1.78134
459	1	 -17.2457	9.84912	-17.2328	9.94087	-17.1554	10.212	5.07156	5.10717	0.256805	0.277309	-0.341059	-0.264964	0.518959
460	0	 -16.9798	9.97106	-16.9868	10.0091	-16.8876	10.145	5.11926	5.11138	0.261257	0.26406	-0.313632	-0.258887	2.26746
461	1	 -16.7282	10.0323	-16.7396	10.0743	-16.5958	10.1078	5.12316	5.11551	0.242499	0.251116	-0.319628	-0.252769	0.128375
462	0	 -16.4799	10.1446	-16.4915	10.1362	-16.5153	10.3091	5.14593	5.11958	0.247827	0.238478	-0.293575	-0.246611	1.64561
463	1	 -16.2269	10.2062	-16.2424	10.1952	-16.09	10.5824	5.1531	5.12357	0.228225	0.226147	-0.30748	-0.240414	0.667581
464	0	 -15.9819	10.2427	-15.9924	10.2511	-16.006	10.1843	5.13869	5.12748	0.205557	0.214126	-0.316467	-0.234179	0.235284
465	1	 -15.7347	10.3076	-15.7416	10.3041	-15.7234	10.41	5.13547	5.13132	0.201631	0.202417	-0.29246	-0.227907	0.245418
466	0	 -15.4998	10.3143	-15.4899	10.3543	-15.5699	10.1904	5.10179	5.13507	0.171332	0.191022	-0.31191	-0.221599	1.1886
467	1	 -15.2149	10.3243	-15.2376	10.4016	-14.2385	10.9109	5.13925	5.13873	0.121801	0.179942	-0.383587	-0.215255	8.13324
468	0	 -14.9531	10.3829	-14.9846	10.4462	-14.9365	10.4722	5.15677	5.14231	0.114198	0.169179	-0.369208	-0.208879	0.48972
469	1	 -14.7043	10.4256	-14.7309	10.4882	-14.724	9.63507	5.13445	5.14579	0.124416	0.158735	-0.297116	-0.202468	6.49356
470	0	 -14.4509	10.3995	-14.4766	10.5276	-14.4088	10.222	5.11486	5.14919	0.0863509	0.148612	-0.325956	-0.196027	1.91955
471	1	 -14.1908	10.4258	-14.2218	10.5645	-13.9005	10.5238	5.11916	5.15249	0.0758376	0.138811	-0.312732	-0.189554	0.653747
472	0	 -13.8996	10.5697	-13.9665	10.5989	-13.8049	10.9383	5.19326	5.15569	0.111565	0.129333	-0.247385	-0.183051	8.66136
473	1	 -13.6425	10.6356	-13.7107	10.631	-13.3956	10.7857	5.18954	5.1588	0.132314	0.120181	-0.178155	-0.176519	1.96246
474	0	 -13.3851	10.6413	-13.4545	10.6608	-13.3556	10.5517	5.18233	5.1618	0.111953	0.111355	-0.192199	-0.169959	0.505273
475	1	 -13.1226	10.6654	-13.1979	10.6884	-12.9374	10.8137	5.18917	5.16471	0.097406	0.102857	-0.203527	-0.163373	0.296047
476	0	 -12.8674	10.7625	-12.9409	10.7138	-12.9591	11.0099	5.20542	5.16751	0.117451	0.0946879	-0.167092	-0.156761	3.90886
477	1	 -12.6038	10.8127	-12.6836	10.7373	-12.2518	11.2495	5.214	5.1702	0.120898	0.0868499	-0.146791	-0.150124	1.38308
478	0	 -12.3572	10.7878	-12.426	10.7587	-12.3713	10.6091	5.18696	5.17278	0.0917045	0.0793437	-0.172776	-0.143463	1.87501
479	1	 -12.0978	10.828	-12.1681	10.7783	-11.9352	10.9161	5.18749	5.17526	0.0977112	0.0721706	-0.142073	-0.136779	0.492936
480	0	 -11.8489	10.8943	-11.91	10.7961	-11.9451	11.0515	5.18834	5.17763	0.107873	0.0653316	-0.121556	-0.130074	1.84052
481	1	 -11.5745	10.9122	-11.6516	10.8121	-10.9703	10.9676	5.20508	5.17988	0.0951218	0.0588279	-0.13335	-0.123349	2.80463
482	0	 -11.3369	10.9324	-11.393	10.8265	-11.4548	10.9407	5.18168	5.18202	0.0879019	0.0526604	-0.13388	-0.116604	0.731543
483	1	 -11.0736	10.8582	-11.1342	10.8394	-11.3472	10.5111	5.18969	5.18405	0.00151444	0.0468302	-0.300813	-0.10984	9.98565
484	0	 -10.7872	10.8261	-10.8753	10.8509	-10.6009	10.6823	5.2117	5.18596	-0.0265255	0.0413382	-0.315981	-0.10306	2.88425
485	1	 -10.5312	10.8229	-10.6161	10.8609	-10.6563	10.8369	5.20688	5.18775	-0.0380192	0.0361852	-0.307487	-0.0962627	0.165535
486	0	 -10.2915	10.8196	-10.3569	10.8697	-10.4142	10.8747	5.18698	5.18942	-0.049672	0.0313721	-0.303364	-0.0894504	0.934889
487	1	 -10.0368	10.8823	-10.0976	10.8772	-9.90413	11.2255	5.17081	5.19097	-0.00197622	0.0268996	-0.172884	-0.0826241	6.77727
488	0	 -9.77853	10.9274	-9.83809	10.8837	-9.83445	11.1032	5.17845	5.19241	0.00858416	0.0227684	-0.149168	-0.0757847	1.87749
489	1	 -9.5378	10.9137	-9.57852	10.8891	-10.195	10.3498	5.15536	5.19372	-0.00277314	0.0189791	-0.150398	-0.0689333	4.09462
490	0	 -9.27974	10.9374	-9.31887	10.8936	-9.3066	11.0348	5.15985	5.19491	-3.62208e-05	0.0155325	-0.138033	-0.062071	0.562433
491	1	 -9.02733	10.9218	-9.05915	10.8972	-9.2226	10.3527	5.14889	5.19597	-0.00806901	0.0124289	-0.130982	-0.0551989	2.73904
492	0	 -8.76744	10.95	-8.79937	10.9001	-8.78899	11.0707	5.1563	5.19691	-0.0021627	0.00966898	-0.116197	-0.0483182	0.831979
493	1	 -8.51939	10.9109	-8.53953	10.9023	-8.83914	10.0319	5.14042	5.19773	-0.0227055	0.00725307	-0.132774	-0.0414297	6.65822
494	0	 -8.32998	10.8408	-8.27965	10.9039	-8.62045	10.6577	5.05889	5.19842	-0.0543848	0.00518158	-0.161814	-0.0345348	6.62592
495	1	 -8.07379	10.858	-8.01974	10.905	-7.91543	11.1157	5.0604	5.19899	-0.0394128	0.00345484	-0.11641	-0.0276344	1.2641
496	0	 -7.76615	10.8892	-7.75979	10.9057	-7.51971	11.0005	5.12529	5.19943	-0.0282265	0.00207312	-0.0962952	-0.0207296	4.05919
497	1	 -7.50242	10.8911	-7.49981	10.9061	-7.25987	10.6458	5.12902	5.19975	-0.0180564	0.00103664	-0.0591294	-0.0138215	1.89164
498	0	 -7.23386	10.8753	-7.23983	10.9063	-7.15631	10.815	5.14128	5.19994	-0.025279	0.000345566	-0.0642434	-0.00691132	0.500415
499	1	 -6.98826	10.9129	-6.97983	10.9064	-7.39396	11.0181	5.12464	5.2	0.008275	-1.50937e-15	0.0129873	3.53787e-16	3.43906
